,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
985,Bachelors,2015,Bangalore,3,26,Male,No,4,0
986,Bachelors,2016,Bangalore,3,26,Male,No,4,0
988,Masters,2016,Bangalore,3,26,Female,No,4,1
989,Bachelors,2018,Bangalore,3,27,Female,No,5,1
990,Bachelors,2017,Bangalore,3,24,Female,No,2,0
993,Bachelors,2014,Bangalore,3,26,Male,No,4,0
994,Bachelors,2014,Bangalore,3,24,Male,No,2,0
995,Bachelors,2012,Bangalore,3,26,Male,No,4,0
998,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1004,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1009,Bachelors,2014,Bangalore,3,28,Male,No,1,1
1010,Bachelors,2015,Bangalore,3,28,Female,No,1,0
1012,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1013,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1015,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1016,Bachelors,2014,Bangalore,3,25,Female,No,3,0
1017,Bachelors,2017,Bangalore,1,24,Male,No,2,0
1019,Bachelors,2013,Bangalore,3,27,Female,No,5,0
1020,Bachelors,2012,Bangalore,3,28,Female,No,2,0
1021,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1022,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1025,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1026,Bachelors,2014,Bangalore,3,27,Male,No,5,1
1027,Bachelors,2014,Bangalore,3,28,Female,No,1,0
1029,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1030,Bachelors,2015,Bangalore,3,24,Male,Yes,2,1
1033,Bachelors,2016,Bangalore,3,28,Male,No,3,1
1036,Bachelors,2015,Bangalore,3,28,Male,No,4,0
1039,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1040,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1042,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1043,Bachelors,2018,Bangalore,3,27,Male,No,5,1
1044,Bachelors,2013,Bangalore,3,28,Male,No,1,0
1046,Bachelors,2012,Bangalore,3,28,Male,No,1,0
1048,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1
1051,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1053,Bachelors,2013,Bangalore,3,25,Female,No,3,1
1054,Bachelors,2017,Bangalore,3,28,Male,No,2,0
1056,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1057,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1
1058,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0
1059,Bachelors,2014,Bangalore,3,26,Female,No,4,0
1060,Bachelors,2017,Bangalore,3,28,Male,No,1,0
1061,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1063,Bachelors,2014,Bangalore,3,27,Female,No,5,0
1064,Bachelors,2014,Bangalore,3,27,Female,Yes,5,1
1065,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1067,Bachelors,2018,Bangalore,3,26,Male,No,4,1
1071,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1072,Bachelors,2014,Bangalore,3,24,Male,Yes,2,0
1074,Bachelors,2015,Bangalore,2,25,Female,No,3,1
1075,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1077,Bachelors,2015,Bangalore,3,24,Female,No,2,0
1078,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1080,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1081,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1082,Bachelors,2012,Bangalore,3,28,Male,No,5,0
1084,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1086,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1087,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1093,Masters,2017,Bangalore,3,26,Female,No,4,0
1101,Bachelors,2013,Bangalore,3,28,Female,No,4,1
1105,Bachelors,2018,Bangalore,3,25,Female,Yes,3,1
1106,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0
1108,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1109,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
1112,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1113,Bachelors,2018,Bangalore,3,24,Male,No,2,1
1114,Bachelors,2017,Bangalore,1,26,Female,No,4,0
1115,Bachelors,2015,Bangalore,3,28,Female,No,3,0
1116,Bachelors,2013,Bangalore,3,28,Male,No,3,1
1117,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
1118,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1126,Bachelors,2013,Bangalore,3,28,Male,No,0,0
1129,Bachelors,2016,Bangalore,1,26,Male,No,4,0
1132,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1133,Bachelors,2013,Bangalore,3,28,Male,No,0,0
1136,Bachelors,2018,Bangalore,3,27,Female,Yes,5,1
1139,Bachelors,2014,Bangalore,3,28,Female,No,3,0
1143,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1145,Bachelors,2015,Bangalore,3,27,Female,No,5,0
1146,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1149,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1150,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1154,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1158,Bachelors,2013,Bangalore,3,28,Male,No,3,0
1162,Bachelors,2017,Bangalore,1,24,Male,No,2,0
1165,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1167,Bachelors,2016,Bangalore,3,28,Female,No,5,0
1168,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1169,Bachelors,2015,Bangalore,3,28,Female,No,5,0
1170,Bachelors,2014,Bangalore,3,27,Male,No,5,1
1171,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1172,Bachelors,2015,Bangalore,1,24,Male,No,2,0
1173,Bachelors,2012,Bangalore,3,27,Female,No,5,0
1174,Bachelors,2012,Bangalore,3,25,Male,No,3,1
1176,Masters,2017,Bangalore,2,24,Female,Yes,2,1
1177,Bachelors,2014,Bangalore,3,28,Male,No,2,0
1185,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1186,Bachelors,2018,Bangalore,3,28,Male,No,2,1
1190,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1
1195,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1196,Bachelors,2018,Bangalore,3,26,Male,Yes,4,1
1200,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1201,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1204,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1211,Bachelors,2016,Bangalore,3,26,Female,No,4,1
1213,Bachelors,2014,Bangalore,3,27,Male,No,5,1
1214,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1216,Masters,2017,Bangalore,2,28,Male,No,2,0
1219,Bachelors,2018,Bangalore,3,24,Male,No,2,1
1221,Bachelors,2015,Bangalore,3,26,Female,Yes,4,0
1223,Bachelors,2013,Bangalore,3,25,Male,Yes,3,0
1224,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1226,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1227,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1228,Bachelors,2012,Bangalore,3,27,Female,No,5,0
1233,Bachelors,2017,Bangalore,3,27,Female,No,5,0
1235,Bachelors,2017,Bangalore,3,27,Female,No,5,0
1236,Bachelors,2016,Bangalore,3,25,Male,No,3,1
1237,Bachelors,2018,Bangalore,3,26,Male,No,4,1
1238,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1240,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1242,Bachelors,2015,Bangalore,1,25,Male,No,3,0
1245,Bachelors,2015,Bangalore,3,28,Male,No,3,0
1246,Bachelors,2016,Bangalore,3,28,Male,No,5,0
1248,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
1250,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
1252,Masters,2013,Bangalore,3,27,Male,No,5,1
1254,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1256,Masters,2017,Bangalore,2,24,Male,No,2,1
1261,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1263,Bachelors,2016,Bangalore,1,25,Female,No,3,0
1264,PHD,2014,Bangalore,1,25,Female,No,3,0
1265,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1269,Bachelors,2015,Bangalore,3,26,Male,No,4,0
1270,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1274,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1277,Bachelors,2014,Bangalore,3,24,Female,No,2,0
1287,Bachelors,2015,Bangalore,3,24,Female,No,2,1
1289,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1291,Bachelors,2012,Bangalore,3,28,Male,No,1,0
1292,Bachelors,2014,Bangalore,1,26,Male,No,4,0
1293,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
1297,Bachelors,2015,Bangalore,3,28,Male,No,0,0
1298,Bachelors,2016,Bangalore,3,28,Male,No,2,0
1300,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1303,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1304,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1306,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1307,Bachelors,2012,Bangalore,3,26,Female,No,4,0
1308,Bachelors,2017,Bangalore,3,26,Female,No,4,0
1310,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1311,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1314,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1315,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1316,Bachelors,2012,Bangalore,3,27,Female,Yes,5,0
1318,Bachelors,2016,Bangalore,2,25,Male,No,3,1
1319,Bachelors,2016,Bangalore,3,28,Female,No,4,0
1321,Bachelors,2016,Bangalore,3,24,Female,No,2,0
1322,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1327,Bachelors,2014,Bangalore,3,25,Female,No,3,1
1328,Masters,2017,Bangalore,3,28,Male,No,2,0
1330,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
1334,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1336,Bachelors,2014,Bangalore,3,25,Male,No,3,1
1337,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1341,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1345,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1346,Bachelors,2013,Bangalore,3,28,Female,No,0,1
1349,Bachelors,2015,Bangalore,1,24,Female,No,2,1
1350,Bachelors,2012,Bangalore,3,26,Female,No,4,0
1359,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1360,Masters,2015,Bangalore,3,28,Male,No,1,1
1361,Bachelors,2018,Bangalore,3,27,Female,Yes,5,1
1362,Bachelors,2015,Bangalore,3,24,Male,No,2,1
1365,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1367,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1369,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1370,Bachelors,2013,Bangalore,3,28,Female,No,3,0
1374,Bachelors,2018,Bangalore,3,26,Female,Yes,4,1
1375,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1377,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1378,PHD,2018,Bangalore,3,27,Female,No,5,1
1379,Bachelors,2015,Bangalore,3,26,Male,No,4,0
1384,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1385,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1386,Bachelors,2015,Bangalore,3,26,Female,No,4,0
1387,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1390,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1391,Bachelors,2014,Bangalore,3,26,Female,No,4,1
1393,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1395,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1396,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1397,PHD,2013,Bangalore,3,26,Male,No,4,0
1399,Bachelors,2017,Bangalore,1,28,Female,No,3,0
1400,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1406,Bachelors,2017,Bangalore,3,28,Female,Yes,5,0
1408,Bachelors,2012,Bangalore,1,27,Male,No,5,1
1409,Bachelors,2018,Bangalore,3,27,Male,No,5,1
1410,Bachelors,2016,Bangalore,3,24,Female,No,2,0
1414,Bachelors,2015,Bangalore,3,26,Male,No,4,1
1418,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1420,Bachelors,2014,Bangalore,3,27,Female,No,5,0
1421,Bachelors,2017,Bangalore,1,25,Male,No,3,0
1424,Bachelors,2015,Bangalore,3,28,Male,No,2,0
1426,Bachelors,2017,Bangalore,3,27,Male,No,5,1
1427,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1429,Bachelors,2015,Bangalore,3,28,Male,No,0,1
1431,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1434,Bachelors,2015,Bangalore,3,27,Female,No,5,0
1435,Bachelors,2017,Bangalore,3,24,Male,No,2,1
1437,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1438,Bachelors,2012,Bangalore,3,28,Male,No,2,0
1439,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1440,Bachelors,2016,Bangalore,1,24,Male,No,2,0
1446,Bachelors,2018,Bangalore,3,24,Male,No,2,1
1448,Bachelors,2013,Bangalore,3,24,Female,No,2,1
1450,Bachelors,2018,Bangalore,3,24,Male,No,2,1
1451,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1452,Bachelors,2016,Bangalore,3,28,Female,No,5,0
1453,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1454,Bachelors,2014,Bangalore,3,26,Female,No,4,0
1455,Masters,2017,Bangalore,2,28,Male,No,2,0
1456,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1457,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1458,Masters,2018,Bangalore,3,28,Male,No,2,1
1459,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1462,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1463,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1464,Bachelors,2017,Bangalore,3,24,Male,No,2,1
1465,Bachelors,2012,Bangalore,1,27,Male,No,5,0
1466,Bachelors,2017,Bangalore,3,28,Female,No,5,0
1473,Bachelors,2015,Bangalore,2,28,Female,No,3,1
1475,Bachelors,2013,Bangalore,3,25,Male,Yes,3,1
1478,Bachelors,2014,Bangalore,3,27,Female,No,5,0
1481,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1484,Bachelors,2014,Bangalore,3,27,Male,Yes,5,0
1485,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1487,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1
1490,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1492,Bachelors,2016,Bangalore,3,27,Male,No,5,0
1497,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1498,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1500,Bachelors,2016,Bangalore,3,28,Male,No,2,0
1501,Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
1502,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1504,Bachelors,2016,Bangalore,3,26,Male,No,4,1
1506,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0
1507,Bachelors,2017,Bangalore,3,25,Male,No,3,1
1509,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1510,Masters,2013,Bangalore,3,26,Female,No,4,1
1515,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1518,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1519,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1522,Masters,2014,Bangalore,3,28,Female,No,4,1
1523,Bachelors,2014,Bangalore,3,28,Female,No,2,0
1524,Bachelors,2017,Bangalore,3,24,Female,No,2,0
1534,Bachelors,2012,Bangalore,3,28,Female,No,1,0
1536,Bachelors,2015,Bangalore,3,26,Male,No,4,0
1537,Bachelors,2015,Bangalore,3,24,Female,No,2,0
1541,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1542,Bachelors,2013,Bangalore,3,25,Male,No,3,1
1547,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1
1548,Bachelors,2018,Bangalore,3,26,Male,No,4,1
1551,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1552,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1554,Bachelors,2018,Bangalore,3,24,Female,No,2,1
1555,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1557,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1558,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1559,Bachelors,2016,Bangalore,3,26,Male,No,4,1
1560,Bachelors,2013,Bangalore,3,25,Female,No,3,1
1561,Bachelors,2016,Bangalore,3,27,Male,Yes,5,0
1565,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1566,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1570,Bachelors,2013,Bangalore,1,24,Male,No,2,0
1571,Bachelors,2012,Bangalore,1,28,Male,No,3,0
1574,Bachelors,2017,Bangalore,3,28,Male,No,3,0
1576,Bachelors,2017,Bangalore,3,25,Female,No,3,1
1577,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1579,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1582,Bachelors,2017,Bangalore,3,28,Male,No,1,1
1583,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1587,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1589,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1591,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1594,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1595,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1600,Bachelors,2016,Bangalore,3,26,Female,No,4,0
1602,Bachelors,2014,Bangalore,3,28,Male,No,3,0
1604,Bachelors,2015,Bangalore,1,27,Male,No,5,0
1605,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1606,Bachelors,2014,Bangalore,3,24,Female,No,2,0
1608,Bachelors,2013,Bangalore,3,24,Male,No,2,1
1609,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1610,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
1611,Bachelors,2012,Bangalore,3,28,Male,No,1,0
1613,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1619,Bachelors,2014,Bangalore,3,28,Male,No,0,0
1621,Bachelors,2016,Bangalore,3,27,Male,No,5,1
1624,Masters,2015,Bangalore,2,27,Female,No,5,1
1627,Bachelors,2017,Bangalore,3,26,Male,No,4,1
1632,Bachelors,2015,Bangalore,3,25,Male,No,3,1
1633,Bachelors,2013,Bangalore,3,28,Female,No,1,0
1635,Bachelors,2012,Bangalore,3,28,Female,No,2,1
1637,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1639,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1641,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1643,Bachelors,2013,Bangalore,3,28,Male,Yes,1,0
1645,Bachelors,2016,Bangalore,1,24,Male,No,2,0
1646,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1648,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1651,Bachelors,2016,Bangalore,3,26,Male,No,4,1
1652,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
1656,Bachelors,2014,Bangalore,3,26,Male,No,4,1
1658,Bachelors,2016,Bangalore,3,26,Male,No,4,1
1660,Bachelors,2018,Bangalore,3,24,Female,No,2,1
1661,Bachelors,2017,Bangalore,2,28,Female,No,1,0
1662,Bachelors,2013,Bangalore,3,24,Female,No,2,0
1665,Bachelors,2014,Bangalore,3,28,Male,No,5,0
1666,Bachelors,2013,Bangalore,3,28,Male,No,2,1
1668,Bachelors,2016,Bangalore,3,28,Male,Yes,0,0
1670,Bachelors,2013,Bangalore,3,25,Female,No,3,1
1671,Bachelors,2017,Bangalore,3,24,Female,No,2,1
1672,Bachelors,2015,Bangalore,3,26,Female,No,4,0
1673,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1677,Bachelors,2015,Bangalore,3,28,Female,No,5,0
1679,Masters,2017,Bangalore,3,25,Male,No,3,0
1680,Masters,2017,Bangalore,1,26,Male,No,4,0
1681,Bachelors,2014,Bangalore,3,25,Male,No,3,1
1682,Bachelors,2016,Bangalore,3,27,Male,No,5,1
1683,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1684,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1686,Bachelors,2018,Bangalore,3,25,Female,No,3,1
1688,PHD,2016,Bangalore,3,25,Male,No,3,0
1689,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1694,Bachelors,2018,Bangalore,3,26,Male,No,4,1
1697,Masters,2014,Bangalore,3,24,Female,No,2,0
1699,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1703,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1704,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1705,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1706,Bachelors,2017,Bangalore,3,26,Female,No,4,0
1707,Masters,2017,Bangalore,2,26,Male,No,4,1
1709,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1711,Bachelors,2017,Bangalore,3,28,Male,No,5,0
1712,Bachelors,2015,Bangalore,1,24,Female,No,2,0
1713,Bachelors,2013,Bangalore,3,27,Male,No,5,1
1714,Bachelors,2018,Bangalore,3,26,Female,No,4,1
1717,Bachelors,2016,Bangalore,3,25,Male,No,3,0
1719,Bachelors,2015,Bangalore,3,26,Male,No,4,1
1727,Bachelors,2012,Bangalore,3,27,Male,No,5,1
1730,Bachelors,2017,Bangalore,3,24,Female,No,2,0
1736,Bachelors,2013,Bangalore,1,24,Female,No,2,1
1738,Bachelors,2017,Bangalore,3,24,Female,No,2,0
1740,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1744,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1749,Masters,2013,Bangalore,3,25,Male,No,3,1
1751,Masters,2017,Bangalore,2,25,Male,No,3,0
1753,Bachelors,2014,Bangalore,3,28,Male,No,0,0
1757,PHD,2014,Bangalore,3,28,Female,No,0,0
1760,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1761,Bachelors,2013,Bangalore,2,24,Female,No,2,1
1769,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1770,Bachelors,2017,Bangalore,3,27,Female,Yes,5,0
1772,Masters,2017,Bangalore,2,26,Female,No,4,0
1775,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1776,Bachelors,2016,Bangalore,3,25,Male,No,3,0
1777,Bachelors,2016,Bangalore,3,27,Male,No,5,0
1778,Bachelors,2015,Bangalore,3,28,Female,No,5,0
1780,Bachelors,2013,Bangalore,3,28,Male,No,2,1
1781,Bachelors,2014,Bangalore,1,25,Male,No,3,0
1784,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
1788,Masters,2017,Bangalore,2,27,Female,No,5,1
1789,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1790,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1791,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1793,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1794,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1798,Masters,2015,Bangalore,3,27,Female,No,5,0
1800,Bachelors,2016,Bangalore,3,27,Male,No,5,0
1801,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1802,Bachelors,2014,Bangalore,3,25,Female,No,3,0
1803,Bachelors,2016,Bangalore,3,26,Female,No,4,0
1804,Bachelors,2016,Bangalore,3,26,Female,No,4,0
1806,Bachelors,2014,Bangalore,3,28,Male,No,3,0
1808,Masters,2014,Bangalore,3,28,Female,No,3,1
1814,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1815,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1816,Bachelors,2017,Bangalore,3,28,Female,No,3,1
1817,Bachelors,2017,Bangalore,3,24,Female,No,2,0
1819,Bachelors,2016,Bangalore,3,25,Male,Yes,3,1
1820,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
1821,Masters,2017,Bangalore,2,24,Female,No,2,0
1822,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
1825,Bachelors,2014,Bangalore,3,28,Male,No,1,0
1832,PHD,2018,Bangalore,3,27,Male,No,5,1
1839,PHD,2017,Bangalore,3,24,Female,No,2,0
1846,Bachelors,2012,Bangalore,3,27,Female,No,5,0
1847,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
1848,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1852,Bachelors,2018,Bangalore,3,25,Female,No,3,1
1854,Bachelors,2014,Bangalore,3,27,Male,Yes,5,0
1856,Masters,2017,Bangalore,3,26,Female,No,4,0
1858,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1859,Bachelors,2014,Bangalore,3,28,Male,No,1,0
1860,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1861,Bachelors,2013,Bangalore,3,28,Female,No,3,0
1863,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1866,Bachelors,2016,Bangalore,3,25,Female,No,3,0
1869,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1870,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1871,Bachelors,2014,Bangalore,3,24,Female,No,2,0
1874,Bachelors,2015,Bangalore,3,25,Female,No,3,0
1876,Masters,2014,Bangalore,3,27,Male,No,5,1
1879,Bachelors,2013,Bangalore,3,24,Female,No,2,0
1880,Bachelors,2017,Bangalore,3,26,Female,No,4,0
1882,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1884,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1885,Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
1888,Bachelors,2018,Bangalore,3,27,Female,No,5,1
1890,Bachelors,2013,Bangalore,1,27,Female,No,5,0
1891,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1894,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1895,Bachelors,2015,Bangalore,3,25,Female,No,3,0
1901,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1902,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1908,Bachelors,2017,Bangalore,3,27,Male,No,5,1
1911,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1912,Bachelors,2014,Bangalore,2,26,Female,No,4,1
1915,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1917,Bachelors,2018,Bangalore,3,25,Female,No,3,1
1919,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1921,Bachelors,2017,Bangalore,2,28,Female,No,2,1
1924,Bachelors,2012,Bangalore,3,24,Female,No,2,0
1929,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1930,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
1931,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1932,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1934,Bachelors,2017,Bangalore,3,26,Male,Yes,4,0
1935,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1936,Bachelors,2012,Bangalore,3,26,Male,Yes,4,0
1937,Masters,2017,Bangalore,2,27,Male,No,5,0
1938,Bachelors,2016,Bangalore,3,25,Female,No,3,0
1941,Bachelors,2014,Bangalore,3,28,Female,No,1,0
1942,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1943,PHD,2013,Bangalore,2,25,Male,No,3,1
1945,Bachelors,2015,Bangalore,3,24,Male,No,2,0
